dataset,role,text,context,relation,entity_type,db,id,name,score,matched,n_candidates,error
chemprot,head,OATP8,"In complementary RNA (cRNA)-injected Xenopus laevis oocytes, rifamycin SV (10 micromol/L) cis-inhibited human organic anion transporting polypeptide C (SLC21A6) (OATP-C), human organic anion transporting polypeptide 8 (SLC21A8) (OATP8), human organic anion transporting polypeptide B (SLC21A9) (OATP-B), and human organic anion transporting polypeptide A (SLC21A3) (OATP-A) mediated BSP uptake by 69%, 79%, 89%, and 57%, respectively, as compared with uptake into control oocytes.",CPR:4,,HGNC,10961,SLCO1B3,0.5555555555555556,True,1,
chemprot,tail,BSP,"In complementary RNA (cRNA)-injected Xenopus laevis oocytes, rifamycin SV (10 micromol/L) cis-inhibited human organic anion transporting polypeptide C (SLC21A6) (OATP-C), human organic anion transporting polypeptide 8 (SLC21A8) (OATP8), human organic anion transporting polypeptide B (SLC21A9) (OATP-B), and human organic anion transporting polypeptide A (SLC21A3) (OATP-A) mediated BSP uptake by 69%, 79%, 89%, and 57%, respectively, as compared with uptake into control oocytes.",CPR:4,,HGNC,5341,IBSP,0.5555555555555556,True,1,
chemprot,head,ICI,"ICI 182,780 (fulvestrant) (Faslodex) and ICI 164,384 are competitive inhibitors of estrogen by binding to the estrogen receptor (ER).",CPR:3,,,,,0.0,False,0,
chemprot,tail,"ICI 182,780","ICI 182,780 (fulvestrant) (Faslodex) and ICI 164,384 are competitive inhibitors of estrogen by binding to the estrogen receptor (ER).",CPR:3,,,,,0.0,False,0,
chemprot,head,h5-HT(1A,"Yohimbine displays marked affinity at human (h)alpha(2A)-, halpha(2B)- and halpha(2C)-ARs, significant affinity for h5-HT(1A), h5-HT(1B), h5-HT(1D), and hD(2) receptors and weak affinity for hD(3) receptors.",CPR:6,,,,,0.0,False,0,
chemprot,tail,hD(3) receptors,"Yohimbine displays marked affinity at human (h)alpha(2A)-, halpha(2B)- and halpha(2C)-ARs, significant affinity for h5-HT(1A), h5-HT(1B), h5-HT(1D), and hD(2) receptors and weak affinity for hD(3) receptors.",CPR:6,,,,,0.0,False,0,
chemprot,head,mAch,"KEYWORDS: mAch receptor, QNB, NMPB, in vivo, mouse.",other,,HGNC,1509,CASP8,0.5209235209235209,True,1,
chemprot,tail,mAch receptor,"KEYWORDS: mAch receptor, QNB, NMPB, in vivo, mouse.",other,,,,,0.0,False,0,
chemprot,head,Ca2+ channel,"However, this molecule has also been shown to inhibit other Ca2+ channel subtypes.",other,,,,,0.0,False,0,
chemprot,tail,Ca2,"However, this molecule has also been shown to inhibit other Ca2+ channel subtypes.",other,,HGNC,1373,CA2,0.7245928674500104,True,1,
chemprot,head,prekallikrein,FXI/PKA3 was used as a template for a series of proteins in which prekallikrein A3 sequence was replaced with factor XI sequence to restore factor IX activation.,CPR:3,,MESH,D011288,Prekallikrein,0.7623170480313337,True,1,
chemprot,tail,factor XI,FXI/PKA3 was used as a template for a series of proteins in which prekallikrein A3 sequence was replaced with factor XI sequence to restore factor IX activation.,CPR:3,,HGNC,3529,F11,0.549371263656978,True,1,
chemprot,head,mammalian,"Nine mammalian pyridoxal 5'-phosphate (PLP)-containing enzymes catalyze cysteine S-conjugate beta-lyase reactions, including mitochondrial aspartate aminotransferase (mitAspAT), and mitochondrial branched-chain amino acid aminotransferase (BCAT(m)).",CPR:3,,,,,0.0,False,0,
chemprot,tail,branched-chain amino acid aminotransferase,"Nine mammalian pyridoxal 5'-phosphate (PLP)-containing enzymes catalyze cysteine S-conjugate beta-lyase reactions, including mitochondrial aspartate aminotransferase (mitAspAT), and mitochondrial branched-chain amino acid aminotransferase (BCAT(m)).",CPR:3,,MESH,C019798,branched-chain-amino-acid transaminase,0.5400948258091115,True,1,
chemprot,head,salicylate,"Here, we report for the first time the purification from human fibroblasts of a approximately 78 kDa salicylate binding protein with sequence identity to immunoglobulin heavy chain binding protein (BiP).",CPR:6,,CHEBI,CHEBI:30762,salicylate,0.7777777777777778,True,1,
chemprot,tail,immunoglobulin,"Here, we report for the first time the purification from human fibroblasts of a approximately 78 kDa salicylate binding protein with sequence identity to immunoglobulin heavy chain binding protein (BiP).",CPR:6,,MESH,D007136,Immunoglobulins,0.5400948258091115,True,1,
chemprot,head,GDNF,"Rasagiline prevented the PT in mitochondria directly and also indirectly through induction of antiapoptotic Bcl-2 and a neurotrophic factor, glial cell line-derived neurotrophic factor (GDNF).",CPR:9,,HGNC,4232,GDNF,0.7777777777777778,True,1,
chemprot,tail,glial cell line-derived neurotrophic factor,"Rasagiline prevented the PT in mitochondria directly and also indirectly through induction of antiapoptotic Bcl-2 and a neurotrophic factor, glial cell line-derived neurotrophic factor (GDNF).",CPR:9,,HGNC,4232,GDNF,0.549371263656978,True,1,
chemprot,head,extracellular,"Moreover, geldanamycin decreases the amount and phosphorylation of Lck and Raf-1 kinases and prevents activation of the extracellular signal regulated kinase (ERK)-2 kinase.",CPR:9,,GO,GO:0005576,extracellular region,0.5555555555555556,True,1,
chemprot,tail,extracellular signal regulated kinase (ERK)-2,"Moreover, geldanamycin decreases the amount and phosphorylation of Lck and Raf-1 kinases and prevents activation of the extracellular signal regulated kinase (ERK)-2 kinase.",CPR:9,,,,,0.0,False,0,
chemprot,head,naproxen sodium,"Although naproxen sodium provided more rapid pain relief than rofecoxib in patients with primary dysmenorrhoea, the reverse was true after orthopaedic surgery: rofecoxib provided more rapid pain relief and less supplemental morphine was needed.",CPR:3,,CHEBI,CHEBI:7477,naproxen sodium,0.7777777777777778,True,1,
chemprot,tail,morphine,"Although naproxen sodium provided more rapid pain relief than rofecoxib in patients with primary dysmenorrhoea, the reverse was true after orthopaedic surgery: rofecoxib provided more rapid pain relief and less supplemental morphine was needed.",CPR:3,,CHEBI,CHEBI:17303,morphine,0.7777777777777778,True,2,
chemprot,head,hMR,"Mutations in the gene encoding the human mineralocorticoid receptor (hMR) are, at least in some patients, responsible for the latter form of PHA1.",CPR:4,,HGNC,7228,MRC1,0.5555555555555556,True,2,
chemprot,tail,PHA1,"Mutations in the gene encoding the human mineralocorticoid receptor (hMR) are, at least in some patients, responsible for the latter form of PHA1.",CPR:4,,,,,0.0,False,0,
chemprot,head,LTB4,"The higher concentrations in calves were insufficient to inhibit significantly exudate prostaglandin E2 (PGE2), leukotriene B4 (LTB4) and beta-glucuronidase concentrations and exudate leucocyte numbers, serum thromboxane B2 (TxB2), and bradykinin-induced skin swelling.",CPR:3,,CHEBI,CHEBI:15647,leukotriene B4,0.5555555555555556,True,1,
chemprot,tail,TxB2,"The higher concentrations in calves were insufficient to inhibit significantly exudate prostaglandin E2 (PGE2), leukotriene B4 (LTB4) and beta-glucuronidase concentrations and exudate leucocyte numbers, serum thromboxane B2 (TxB2), and bradykinin-induced skin swelling.",CPR:3,,CHEBI,CHEBI:28728,thromboxane B2,0.5023706452277881,True,1,
chemprot,head,alpha(2)-AR,"In conclusion, the alpha(2)-AR antagonist properties of yohimbine increase DA and NAD levels both alone and in association with fluoxetine.",CPR:3,,,,,0.0,False,0,
chemprot,tail,yohimbine,"In conclusion, the alpha(2)-AR antagonist properties of yohimbine increase DA and NAD levels both alone and in association with fluoxetine.",CPR:3,,CHEBI,CHEBI:10093,yohimbine,0.7777777777777778,True,1,
chemprot,head,NAD,"Fluparoxan increases extracellular levels of DA and NAD, but not 5-HT, in frontal cortex.",CPR:3,,CHEBI,CHEBI:13389,NAD,0.7777777777777778,True,2,
chemprot,tail,5-HT,"Fluparoxan increases extracellular levels of DA and NAD, but not 5-HT, in frontal cortex.",CPR:3,,CHEBI,CHEBI:28790,serotonin,0.5555555555555556,True,1,
chemprot,head,zolmitriptan,"In vivo microdialysis was used to assess the central serotonergic effects and extracellular brain levels of the 5-HT(1B/1D) receptor agonists eletriptan, zolmitriptan and sumatriptan in rats after intravenous and intracerebral administration, while their binding affinities and functional potencies were determined at 5-HT(1B), 5-HT(1D) and 5-HT(1A) receptors.",CPR:6,,CHEBI,CHEBI:10124,zolmitriptan,0.7777777777777778,True,1,
chemprot,tail,5-HT(1D,"In vivo microdialysis was used to assess the central serotonergic effects and extracellular brain levels of the 5-HT(1B/1D) receptor agonists eletriptan, zolmitriptan and sumatriptan in rats after intravenous and intracerebral administration, while their binding affinities and functional potencies were determined at 5-HT(1B), 5-HT(1D) and 5-HT(1A) receptors.",CPR:6,,,,,0.0,False,0,
chemprot,head,Activated,"Activated coagulation factor XI (factor XIa) proteolytically cleaves its substrate, factor IX, in an interaction requiring the factor XI A3 domain (Sun, Y., and Gailani, D. (1996) J. Biol.",other,,,,,0.0,False,0,
chemprot,tail,Activated coagulation factor XI,"Activated coagulation factor XI (factor XIa) proteolytically cleaves its substrate, factor IX, in an interaction requiring the factor XI A3 domain (Sun, Y., and Gailani, D. (1996) J. Biol.",other,,,,,0.0,False,0,
chemprot,head,human,"Yohimbine displays marked affinity at human (h)alpha(2A)-, halpha(2B)- and halpha(2C)-ARs, significant affinity for h5-HT(1A), h5-HT(1B), h5-HT(1D), and hD(2) receptors and weak affinity for hD(3) receptors.",CPR:3,,MESH,D006801,Humans,0.5400948258091115,True,1,
chemprot,tail,halpha(2C)-ARs,"Yohimbine displays marked affinity at human (h)alpha(2A)-, halpha(2B)- and halpha(2C)-ARs, significant affinity for h5-HT(1A), h5-HT(1B), h5-HT(1D), and hD(2) receptors and weak affinity for hD(3) receptors.",CPR:3,,,,,0.0,False,0,
chemprot,head,ziprasidone,"These profiles suggest a mechanism of action for each agent, 5-HT1A agonism for ziprasidone and alpha 1 antagonism for clozapine and olanzapine.",CPR:4,,CHEBI,CHEBI:10119,ziprasidone,0.7777777777777778,True,1,
chemprot,tail,clozapine,"These profiles suggest a mechanism of action for each agent, 5-HT1A agonism for ziprasidone and alpha 1 antagonism for clozapine and olanzapine.",CPR:4,,CHEBI,CHEBI:3766,clozapine,0.7777777777777778,True,1,
chemprot,head,mitogen-activated,"We identified a novel target in liver, mitogen-activated phosphokinase phosphatase 1, whose down-regulation by PPAR-alpha agonists may improve insulin sensitivity in that tissue by prolonging insulin responses.",CPR:6,,,,,0.0,False,0,
chemprot,tail,insulin,"We identified a novel target in liver, mitogen-activated phosphokinase phosphatase 1, whose down-regulation by PPAR-alpha agonists may improve insulin sensitivity in that tissue by prolonging insulin responses.",CPR:6,,HGNC,6081,INS,1.0,True,4,
chemprot,head,hD(3,"Yohimbine displays marked affinity at human (h)alpha(2A)-, halpha(2B)- and halpha(2C)-ARs, significant affinity for h5-HT(1A), h5-HT(1B), h5-HT(1D), and hD(2) receptors and weak affinity for hD(3) receptors.",CPR:6,,,,,0.0,False,0,
chemprot,tail,human,"Yohimbine displays marked affinity at human (h)alpha(2A)-, halpha(2B)- and halpha(2C)-ARs, significant affinity for h5-HT(1A), h5-HT(1B), h5-HT(1D), and hD(2) receptors and weak affinity for hD(3) receptors.",CPR:6,,MESH,D006801,Humans,0.5400948258091115,True,1,
chemprot,head,uncoupling,Impaired expression of the uncoupling protein-3 gene in skeletal muscle during lactation: fibrates and troglitazone reverse lactation-induced downregulation of the uncoupling protein-3 gene.,CPR:6,,,,,0.0,False,0,
chemprot,tail,troglitazone,Impaired expression of the uncoupling protein-3 gene in skeletal muscle during lactation: fibrates and troglitazone reverse lactation-induced downregulation of the uncoupling protein-3 gene.,CPR:6,,CHEBI,CHEBI:9753,troglitazone,0.7777777777777778,True,1,
chemprot,head,prostate-specific antigen (PSA,"Down-regulation of prostate-specific antigen (PSA) expression, an AR-target gene, by estramustine and bicalutamide was accompanied by the blockade of the mutated androgen receptor.",CPR:3,,,,,0.0,False,0,
chemprot,tail,androgen,"Down-regulation of prostate-specific antigen (PSA) expression, an AR-target gene, by estramustine and bicalutamide was accompanied by the blockade of the mutated androgen receptor.",CPR:3,,CHEBI,CHEBI:50113,androgen,0.7777777777777778,True,1,
chemprot,head,ACE/NEP,In this work a novel approach combining HPLC-UV on-line with oaTOF-MS and ICPMS was applied to investigate in human and rat plasma the metabolism of labelled BK (79/81 Br-Phe5) BrBK in the presence of two new dual ACE/NEP inhibitors (GW660511X and omapatrilat) currently under clinical trial.,CPR:4,,,,,0.0,False,0,
chemprot,tail,Br-Phe5) BrBK,In this work a novel approach combining HPLC-UV on-line with oaTOF-MS and ICPMS was applied to investigate in human and rat plasma the metabolism of labelled BK (79/81 Br-Phe5) BrBK in the presence of two new dual ACE/NEP inhibitors (GW660511X and omapatrilat) currently under clinical trial.,CPR:4,,,,,0.0,False,0,
